"tick","Min Size","Max Size","Mean Size"
0.0,1.0,1.0,1.0
1.0,1.0091288117482327,1.0099989747139626,1.0098427490612765
2.0,1.0260128420754335,1.0297637182916515,1.0280359370709695
3.0,1.047438732017763,1.05770332129905,1.0535848611321037
4.0,1.076641787791159,1.092630203301087,1.0854354162331823
5.0,1.1127305044303648,1.1314351506787352,1.1230148163930447
6.0,1.1573292680503802,1.1794511881307699,1.1673469668450907
7.0,1.2051247353991497,1.2302431922219694,1.21659701593209
8.0,1.2577529822569344,1.2883167793671602,1.2717892545427105
9.0,1.3150540613895285,1.3553024824126625,1.3329335355663088
10.0,1.3784807678265498,1.422955940347165,1.3991990608170075
11.0,1.4494989385036754,1.4999586367909798,1.4707650685118827
12.0,1.5263929239497522,1.571574128500652,1.5478400193214619
13.0,1.6040211504744364,1.6620608244929462,1.632317681026785
14.0,1.6848506651143542,1.7595160962687806,1.7215339217652872
15.0,1.7745326638594268,1.8558660962572322,1.8175103899591296
16.0,1.866849689716473,1.9559732103906573,1.916269832902842
17.0,1.9657781517296096,2.063985638935119,2.0216056914542735
18.0,2.0670278242160562,2.1780640643043445,2.1325981968332925
19.0,2.1815799039090047,2.300541507091839,2.2484860830627476
20.0,2.295409098132513,2.426560327925254,2.37192839595238
21.0,2.4160425439709794,2.558683291699272,2.497534456354786
22.0,2.5406322490517046,2.69856764609227,2.6289938416206686
23.0,2.6651660849153993,2.839456134140492,2.765787712888031
24.0,2.8002656006976028,2.987957303444855,2.9092622978091818
25.0,2.945698846201412,3.1457786708162168,3.057786194196902
26.0,3.100226158860605,3.3031194169353695,3.2080144634204593
27.0,3.255233262991532,3.4771729564946146,3.3678525569721494
28.0,3.418707181445788,3.653765142315533,3.5294974566453425
29.0,3.577442088334355,3.8287797893350946,3.697755573259559
30.0,3.740488804872147,4.01005338086281,3.8709024771482037
31.0,3.9114692259393626,4.20745021010749,4.050809038454667
32.0,4.106823406803887,4.39348525671754,4.236335040058195
33.0,4.298626920015085,4.5847202778537754,4.428640173506272
34.0,4.487504788162187,4.786997331031598,4.628452026546389
35.0,4.68416135571897,4.9860583327966745,4.828740191313263
36.0,4.893166425547097,5.197299585829024,5.033559332169297
37.0,5.108228905098514,5.417166390649509,5.248940354383419
38.0,5.322519500569907,5.635865190944169,5.46650768968917
39.0,5.534015707327054,5.867292746584862,5.690908815806733
40.0,5.756469761389309,6.099757589222863,5.919586252193781
41.0,5.988784818793649,6.337815619204193,6.155976057446446
42.0,6.234061467417052,6.5891097787255415,6.401776701094534
43.0,6.485822669924239,6.845384144240524,6.6508081795859875
44.0,6.776327903140338,7.094923498285933,6.909395778822603
45.0,7.022836486783346,7.3466713120485645,7.171507214838638
46.0,7.279479502944743,7.602713560839182,7.430874503297674
47.0,7.5335071973269825,7.877950406661256,7.695402142278181
48.0,7.793311384464616,8.158734833395574,7.967721384258038
49.0,8.057151665410494,8.438071863881778,8.24549039924852
50.0,8.334804967318197,8.734307398127857,8.5285917455297
51.0,8.60679922689451,8.971713111582211,8.805410928410323
52.0,8.886018630920445,9.264489105800166,9.094101270509059
53.0,9.176828839338851,9.561389375755097,9.38042054221013
54.0,9.461176981199534,9.862586075058205,9.678920917881612
55.0,0.0,9.978008727040145,1.6496003620440611
56.0,0.0,0.3218473757454195,0.13913375746924428
57.0,0.2998682740726507,0.6492116118804552,0.45912630318283537
58.0,0.6086047508683987,0.9862801322480664,0.7911600242729766
59.0,0.9185978485574016,1.3242753460258248,1.1300707211564296
60.0,1.237272372515872,1.6731229066546076,1.4689052281450856
61.0,1.5562296926602723,2.0276115371286867,1.7972773175718892
62.0,1.8866213266388514,2.3793467237381263,2.1371479623423775
63.0,2.2181748447404246,2.7373853512527417,2.4692330382710552
64.0,2.5596804805775175,3.107136443892959,2.8277543646009877
65.0,2.905237751165405,3.4661675775679757,3.1756129541308447
66.0,3.261473883232102,3.844763863177504,3.524400211822428
67.0,3.675833659633063,4.20866933734389,3.902751102524344
68.0,4.0364281570096505,4.581220901326742,4.284100307829819
69.0,4.420428421113175,4.9580209878087045,4.668911130602821
70.0,4.805435694642366,5.3363653710973455,5.053611790247145
71.0,5.18316194421379,5.72034238527529,5.438934245000709
72.0,5.568692421193702,6.119754255041481,5.823069333431
73.0,5.964607724654489,6.515798034819309,6.222060579277782
74.0,6.368331052921714,6.912639445806854,6.608943214325563
75.0,6.77146685039159,7.319494036566467,7.007797855261016
76.0,7.188429631551263,7.73156956806779,7.421397153677826
77.0,7.604130749262405,8.14761852834141,7.847801435031994
78.0,8.026488318587655,8.562937862318941,8.241801280395398
79.0,8.450687548296994,8.995427224885207,8.687643883845514
80.0,8.875647264909933,9.451503199087457,9.127040309543213
81.0,9.312345586020967,9.901471845379564,9.533229738354684
82.0,0.0,9.945831470449919,3.1337319963668815
83.0,0.0,0.47278409527381887,0.1279092910691468
84.0,0.44137091038050125,0.9302870560879819,0.5850117463220058
85.0,0.8834735437342898,1.394245317832101,1.0466548229884802
86.0,1.3271007913304493,1.860646009852644,1.4942244239482814
87.0,1.7879019453935325,2.3438380090845747,1.9522180904050228
88.0,2.258555658734404,2.80723666038597,2.427435401614673
89.0,2.73391871802276,3.286412833228241,2.8953210854703504
90.0,3.2105244681332263,3.8275643324386324,3.3884750479760894
91.0,3.69179622674128,4.314049508951138,3.8794958511691
92.0,4.170265598341357,4.797657605865969,4.37116887561455
93.0,4.656658741137944,5.311586304858791,4.857174330800688
94.0,5.147447625694331,5.832432768060824,5.3602439131217725
95.0,5.644886208884418,6.354821906515861,5.867061932096091
96.0,6.148772375800181,6.8794187602773285,6.362169961558469
97.0,6.710340655744077,7.40495875147171,6.897291453868333
98.0,7.237456645723434,7.934851528196592,7.4207081999665165
99.0,7.758816165325696,8.4568539575953,7.9624497556101
100.0,8.283791568069717,8.999615043064109,8.500604941568918
